chromosome,length_bp,length_Mb,total_genes,protein_coding,gene_density_per_Mb,protein_coding_density_per_Mb
NC_052407.1,13553361,13.553,803,711,59.25,52.46
NC_052393.1,29301675,29.302,1772,1563,60.47,53.34
NC_052402.1,29487722,29.488,1829,1525,62.03,51.72
NC_052396.1,18619412,18.619,1044,906,56.07,48.66
NC_052405.1,24628924,24.629,1324,1160,53.76,47.10
NC_052400.1,22757669,22.758,1467,1293,64.46,56.82
NC_052399.1,31698078,31.698,2064,1848,65.11,58.30
NC_052408.1,16126437,16.126,1032,938,63.99,58.17
NC_052394.1,24755689,24.756,1904,1701,76.91,68.71
NC_052403.1,14769854,14.770,870,756,58.90,51.19
NC_052397.1,18596258,18.596,1194,1022,64.21,54.96
NC_052406.1,12030914,12.031,853,755,70.90,62.75
NC_052392.1,40814151,40.814,2275,1995,55.74,48.88
NC_052401.1,15825318,15.825,808,697,51.06,44.04
NC_052409.1,9812533,9.813,731,682,74.50,69.50
NC_052395.1,33281721,33.282,1631,1398,49.01,42.01
NC_052404.1,12891333,12.891,907,812,70.36,62.99
NC_052398.1,16639383,16.639,1171,1043,70.38,62.68
