chromosome,gene_count,mean_length,min_length,max_length
NC_052392.1,1995,8339.37,309,114680
NC_052393.1,1563,8801.39,357,193991
NC_052394.1,1701,7248.12,393,84719
NC_052395.1,1398,7887.45,312,98531
NC_052396.1,906,8191.82,339,93265
NC_052397.1,1022,7803.81,297,83311
NC_052398.1,1043,8028.86,363,65746
NC_052399.1,1848,7413.84,306,85074
NC_052400.1,1293,7818.84,300,82037
NC_052401.1,697,8038.23,390,148533
NC_052402.1,1525,7961.99,296,117879
NC_052403.1,756,7817.07,276,124077
NC_052404.1,812,7483.83,390,69272
NC_052405.1,1160,8586.40,348,95233
NC_052406.1,755,7350.14,372,115942
NC_052407.1,711,8539.64,293,65836
NC_052408.1,938,7622.36,291,73076
NC_052409.1,682,7600.84,354,44661
