gene_id,product_description,chromosome,start,end,strand,functional_category
LOC103723720,shaggy-related protein kinase alpha,NC_052392.1,781439,785029,+,Protein_Kinases
LOC103698143,shaggy-related protein kinase alpha-like,NC_052392.1,864540,865346,+,Protein_Kinases
LOC120104203,calcium-dependent protein kinase 8-like,NC_052392.1,1811535,1811930,-,Protein_Kinases
LOC103720130,A-kinase anchor protein 12-like%2C transcript variant X1,NC_052392.1,2057365,2062513,+,Protein_Kinases
LOC103718157,CBL-interacting protein kinase 1-like%2C transcript variant X1,NC_052392.1,2408959,2414998,+,Protein_Kinases
LOC103721775,probable receptor-like protein kinase At5g18500,NC_052392.1,2835166,2845052,+,Protein_Kinases
LOC103721022,galactokinase,NC_052392.1,3651538,3666911,-,Protein_Kinases
LOC103721017,probable serine/threonine-protein kinase SIS8%2C transcript variant X2,NC_052392.1,3847304,3892579,-,Protein_Kinases
LOC103721014,receptor-like protein kinase ANXUR1,NC_052392.1,3938494,3942064,-,Protein_Kinases
LOC103721249,probable serine/threonine protein kinase IRE4,NC_052392.1,5439039,5468781,+,Protein_Kinases
LOC103716188,serine/threonine-protein kinase CTR1%2C transcript variant X2,NC_052392.1,6103865,6117194,-,Protein_Kinases
LOC103716207,receptor-like cytosolic serine/threonine-protein kinase RBK1%2C transcript variant X2,NC_052392.1,6121255,6129768,-,Protein_Kinases
LOC103714008,probable serine/threonine-protein kinase PBL7,NC_052392.1,6572822,6577279,+,Protein_Kinases
LOC103714006,probable serine/threonine-protein kinase At1g54610,NC_052392.1,6627067,6636352,-,Protein_Kinases
LOC103700619,probable serine/threonine-protein kinase At1g54610,NC_052392.1,6656016,6657106,-,Protein_Kinases
LOC120110313,probable serine/threonine-protein kinase At1g54610,NC_052392.1,6670853,6671965,-,Protein_Kinases
LOC103714007,probable serine/threonine-protein kinase At1g54610%2C transcript variant X3,NC_052392.1,6684062,6686521,-,Protein_Kinases
LOC103713975,sodium/hydrogen exchanger 2%2C transcript variant X1,NC_052392.1,6981374,6997076,+,Ion_Transporters
LOC103697599,SOSS complex subunit B homolog%2C transcript variant X3,NC_052392.1,7582220,7591583,+,Other_Signaling_Metabolism
LOC103717236,probable inactive leucine-rich repeat receptor kinase XIAO,NC_052392.1,7750141,7751981,-,Protein_Kinases
LOC103707537,receptor-like cytosolic serine/threonine-protein kinase RBK2%2C transcript variant X1,NC_052392.1,7830000,7835130,-,Protein_Kinases
LOC103707538,probable LRR receptor-like serine/threonine-protein kinase RKF3,NC_052392.1,7845528,7848250,+,Protein_Kinases
LOC103699297,diacylglycerol kinase 7-like%2C transcript variant X1,NC_052392.1,8099474,8126422,-,Protein_Kinases
LOC103718404,mitogen-activated protein kinase kinase 5,NC_052392.1,9127669,9129385,-,Protein_Kinases
LOC103701191,probable LRR receptor-like serine/threonine-protein kinase At2g23950,NC_052392.1,9424906,9429804,-,Protein_Kinases
LOC103707465,putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130,NC_052392.1,9925502,9928910,+,Protein_Kinases
LOC103707436,putative leucine-rich repeat receptor-like serine/threonine-protein kinase At2g24130%2C transcript variant X1,NC_052392.1,9946214,9951566,+,Protein_Kinases
LOC103724252,serine/threonine-protein kinase VPS15%2C transcript variant X2,NC_052392.1,10284793,10314090,+,Protein_Kinases
LOC103714243,CBL-interacting serine/threonine-protein kinase 5,NC_052392.1,10889335,10891341,-,Protein_Kinases
LOC103714244,CBL-interacting protein kinase 6,NC_052392.1,10965587,10967578,+,Protein_Kinases
LOC103712850,serine/threonine-protein kinase D6PKL1-like%2C transcript variant X1,NC_052392.1,12700077,12708838,-,Protein_Kinases
LOC103710640,brassinosteroid LRR receptor kinase BRL1-like%2C transcript variant X2,NC_052392.1,13764338,13768892,-,Protein_Kinases
LOC103715905,bifunctional aspartokinase/homoserine dehydrogenase 1%2C chloroplastic-like%2C transcript variant X1,NC_052392.1,13787936,13809195,-,Protein_Kinases
LOC103713551,sodium/hydrogen exchanger 6-like%2C transcript variant X1,NC_052392.1,13940678,13974659,-,Ion_Transporters
LOC103712736,protein NSP-INTERACTING KINASE 1-like,NC_052392.1,14356373,14362320,+,Protein_Kinases
LOC103712737,probable serine/threonine-protein kinase DDB_G0291350,NC_052392.1,14364960,14378308,+,Protein_Kinases
LOC103712750,biogenesis of lysosome-related organelles complex 1 subunit 2,NC_052392.1,14651335,14653585,+,Other_Signaling_Metabolism
LOC103712755,phosphatidylinositol 4-kinase gamma 5-like%2C transcript variant X1,NC_052392.1,14709366,14713269,-,Protein_Kinases
LOC103723802,protein ACTIVITY OF BC1 COMPLEX KINASE 7%2C chloroplastic-like,NC_052392.1,14914571,14955607,+,Protein_Kinases
LOC120104241,probable receptor-like protein kinase At1g80640,NC_052392.1,15256026,15260005,+,Protein_Kinases
LOC120111279,zinc finger A20 and AN1 domain-containing stress-associated protein 8-like,NC_052392.1,15736957,15738993,+,Transcription_Factors
LOC103705441,G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3,NC_052392.1,16172162,16174585,-,Protein_Kinases
LOC120103889,carbon catabolite-derepressing protein kinase-like,NC_052392.1,16241001,16245064,+,Protein_Kinases
LOC103718417,cyclin-dependent kinase B2-2-like,NC_052392.1,16513600,16517053,+,Protein_Kinases
LOC113463481,proline-rich receptor-like protein kinase PERK8%2C transcript variant X1,NC_052392.1,16558673,16562642,+,Protein_Kinases
LOC103701441,serine/threonine-protein kinase STY13,NC_052392.1,17336351,17355764,-,Protein_Kinases
LOC103701443,probable serine/threonine-protein kinase PBL17%2C transcript variant X2,NC_052392.1,17376324,17386040,+,Protein_Kinases
LOC103701446,pollen receptor-like kinase 5,NC_052392.1,17429810,17435113,+,Protein_Kinases
LOC103701454,L-arabinokinase-like,NC_052392.1,17529615,17569244,-,Protein_Kinases
LOC103701457,galacturonokinase%2C transcript variant X3,NC_052392.1,17625656,17661782,+,Protein_Kinases
LOC103701573,cation transporter HKT8-like%2C transcript variant X1,NC_052392.1,17687124,17690509,+,Ion_Transporters
LOC103701574,cation transporter HKT8-like,NC_052392.1,17720657,17724022,+,Ion_Transporters
LOC103701575,probable cation transporter HKT7,NC_052392.1,17743165,17748888,+,Ion_Transporters
LOC103701576,probable cation transporter HKT6,NC_052392.1,17754011,17757598,+,Ion_Transporters
LOC103701695,diacylglycerol kinase 4-like,NC_052392.1,18980205,18997727,+,Protein_Kinases
LOC103701735,histidine kinase 5-like,NC_052392.1,19014360,19028235,+,Protein_Kinases
LOC103701699,PTI1-like tyrosine-protein kinase At3g15890,NC_052392.1,19082477,19085288,+,Protein_Kinases
LOC103701701,probable receptor-like serine/threonine-protein kinase At5g57670,NC_052392.1,19090347,19095114,+,Protein_Kinases
LOC103700918,probable inactive receptor kinase At2g26730,NC_052392.1,20385062,20388103,-,Protein_Kinases
LOC103711473,glycerol kinase-like%2C transcript variant X1,NC_052392.1,21386157,21391014,+,Protein_Kinases
LOC103711478,calmodulin-binding receptor-like cytoplasmic kinase 3%2C transcript variant X2,NC_052392.1,21457416,21468504,-,Protein_Kinases
LOC103711493,PTI1-like tyrosine-protein kinase At3g15890,NC_052392.1,21874870,21880614,-,Protein_Kinases
LOC103711501,probable phytol kinase 1%2C chloroplastic%2C transcript variant X2,NC_052392.1,21964612,21966497,-,Protein_Kinases
LOC103716219,probable LRR receptor-like serine/threonine-protein kinase At4g37250,NC_052392.1,22439369,22443355,+,Protein_Kinases
LOC103722431,sodium/proton antiporter 1,NC_052392.1,22460988,22481741,-,Ion_Transporters
LOC103718859,serine/threonine/tyrosine-protein kinase HT1,NC_052392.1,22953409,22959106,-,Protein_Kinases
LOC120111932,serine/threonine-protein kinase D6PK-like,NC_052392.1,23904362,23914512,-,Protein_Kinases
LOC103716465,serine/threonine-protein kinase D6PK-like,NC_052392.1,24324785,24334929,+,Protein_Kinases
LOC113463365,wall-associated receptor kinase 2-like,NC_052392.1,24585604,24591039,-,Protein_Kinases
LOC103698768,ATP-dependent 6-phosphofructokinase 2-like,NC_052392.1,25059293,25062693,+,Protein_Kinases
LOC120111460,inositol polyphosphate multikinase beta-like,NC_052392.1,25578319,25580771,+,Protein_Kinases
LOC120112009,probable GTP diphosphokinase CRSH1%2C chloroplastic,NC_052392.1,25583683,25596156,+,Protein_Kinases
LOC120112039,pyruvate dehydrogenase (acetyl-transferring) kinase%2C mitochondrial-like,NC_052392.1,25788763,25801728,-,Protein_Kinases
LOC103707696,CBL-interacting protein kinase 1-like,NC_052392.1,25918284,25925190,-,Protein_Kinases
LOC120111597,protein kinase PINOID-like,NC_052392.1,27399460,27401237,-,Protein_Kinases
LOC103708276,wall-associated receptor kinase 3-like,NC_052392.1,28102128,28104947,+,Protein_Kinases
LOC120111652,wall-associated receptor kinase 5-like,NC_052392.1,28120917,28126440,+,Protein_Kinases
LOC103723813,putative receptor-like protein kinase At1g80870,NC_052392.1,28670479,28673090,-,Protein_Kinases
LOC103696275,probable LRR receptor-like serine/threonine-protein kinase At2g24230%2C transcript variant X2,NC_052392.1,28894527,28897925,-,Protein_Kinases
LOC103702971,CBL-interacting protein kinase 6-like,NC_052392.1,29092730,29094713,-,Protein_Kinases
LOC120112327,protein NSP-INTERACTING KINASE 1-like%2C transcript variant X3,NC_052392.1,29320203,29325063,-,Protein_Kinases
LOC103697333,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,29852303,29856732,+,Protein_Kinases
LOC120112353,L-type lectin-domain containing receptor kinase IX.1-like%2C transcript variant X1,NC_052392.1,29871495,29874889,+,Protein_Kinases
LOC103699403,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,29887878,29890977,+,Protein_Kinases
LOC103697335,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,29901997,29907893,+,Protein_Kinases
LOC103699026,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,29916453,29920003,+,Protein_Kinases
LOC103698916,L-type lectin-domain containing receptor kinase IX.1-like,NC_052392.1,29937077,29939108,+,Protein_Kinases
LOC103704325,PTI1-like tyrosine-protein kinase At3g15890,NC_052392.1,30614303,30618294,-,Protein_Kinases
