chromosome,length_Mb,total_genes,gene_density_per_Mb,protein_coding_density_per_Mb,GC_percent
NC_052407.1,13.553,803,59.25,52.46,39.5596
NC_052393.1,29.302,1772,60.47,53.34,39.7862
NC_052402.1,29.488,1829,62.03,51.72,40.1209
NC_052396.1,18.619,1044,56.07,48.66,40.1756
NC_052405.1,24.629,1324,53.76,47.10,39.6947
NC_052400.1,22.758,1467,64.46,56.82,39.6210
NC_052399.1,31.698,2064,65.11,58.30,39.9318
NC_052408.1,16.126,1032,63.99,58.17,39.7998
NC_052394.1,24.756,1904,76.91,68.71,39.6143
NC_052403.1,14.770,870,58.90,51.19,39.8320
NC_052397.1,18.596,1194,64.21,54.96,39.6407
NC_052406.1,12.031,853,70.90,62.75,39.7910
NC_052392.1,40.814,2275,55.74,48.88,39.9295
NC_052401.1,15.825,808,51.06,44.04,39.8065
NC_052409.1,9.813,731,74.50,69.50,39.3750
NC_052395.1,33.282,1631,49.01,42.01,41.1660
NC_052404.1,12.891,907,70.36,62.99,40.1291
NC_052398.1,16.639,1171,70.38,62.68,39.2759
