chromosome,total_genes,protein_coding,protein_coding_percent
NC_052392.1,2275,1995,87.69
NC_052393.1,1772,1563,88.21
NC_052394.1,1904,1701,89.34
NC_052395.1,1631,1398,85.71
NC_052396.1,1044,906,86.78
NC_052397.1,1194,1022,85.59
NC_052398.1,1171,1043,89.07
NC_052399.1,2064,1848,89.53
NC_052400.1,1467,1293,88.14
NC_052401.1,808,697,86.26
NC_052402.1,1829,1525,83.38
NC_052403.1,870,756,86.90
NC_052404.1,907,812,89.53
NC_052405.1,1324,1160,87.61
NC_052406.1,853,755,88.51
NC_052407.1,803,711,88.54
NC_052408.1,1032,938,90.89
NC_052409.1,731,682,93.30
